exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,4,fxyd1^{+/+},5,228,3,74.5,74.5,1.66666666666667,2.96458333333333,11.2296102782502,1.71884200365429
1,4,fxyd1^{+/+},37,129,16.5,62,62,1.8625,2.03933032155195,11.9845835957179,1.86227203647416
1,4,fxyd1^{+/+},55,207.5,30.5,88,88,1.87926829268293,2.22748205336584,11.3108992225319,1.0728753028445
1,4,fxyd1^{+/+},14,362.5,4,81,81,3.5,4.51425287356322,12.7296435665175,1.45155008891524
1,4,fxyd1^{+/+},0,58,0,31,31,NaN,1.87291666666667,16.0990476190476,2.10647743253198
1,4,fxyd1^{+/+},12.5,101,5,48,48,4,2.10969723562966,6.99678458418559,1.49014531708045
1,4,fxyd1^{+/+},68,122,25.5,72.5,72.5,2.76644736842105,1.67596191216479,10.9225501608705,1.5369226717862
1,4,fxyd1^{+/+},30.5,341,6.5,78,78,6.25,4.37678776919283,11.1268884544289,1.44114064230343
1,4,fxyd1^{+/+},21,173.5,13.5,106.5,106.5,1.32608695652174,1.62333629103815,11.1262920278724,1.13839803659081
1,4,fxyd1^{+/+},6,232.5,3.5,96.5,96.5,1.41666666666667,2.38612392880686,16.8174612634088,1.26427285113042
1,4,fxyd1^{+/+},3,153.5,2.5,80.5,80.5,1.5,1.90854978354978,11.8625408156436,1.45366398951925
1,4,fxyd1^{+/+},8,84.5,3.5,47.5,47.5,2.33333333333333,1.75977517106549,10.6353541416567,1.74622357938678
1,4,fxyd1^{+/+},6.5,90,2,43,43,4.16666666666667,2.42937853107345,13.3512110706816,1.87873954767383
1,4,fxyd1^{+/+},10,267,5.5,98.5,98.5,1.81818181818182,2.69796823432343,15.3141432026256,1.57973691697356
1,4,fxyd1^{+/+},3.5,204,0.5,87,87,7,2.33761419303588,12.7816613202167,1.51212964827692
1,4,fxyd1^{+/+},42,103,16.5,47,47,2.3,2.19637188208617,16.4059905294681,1.86920165929636
1,4,fxyd1^{+/+},4.5,151,4,66,66,1.07142857142857,2.21038961038961,10.9563035160194,1.29487745098039
1,4,fxyd1^{+/+},35,363,12.5,114,114,2.43478260869565,3.19805720453319,10.1746907475696,0.970351027397261
1,4,fxyd1^{+/+},0,175,0,74,74,NaN,2.30337078651685,12.6401785714286,1.4135843655557
1,4,fxyd1^{+/+},15,130,7,61,61,2.14583333333333,2.04812687995625,11.905535459057,1.58242510375615
1,4,fxyd1^{+/+},40,128.5,9,72,72,6.4375,1.76699123661149,13.1495501127783,1.69176003734827
1,4,fxyd1^{+/+},4,116,3,60.5,60.5,1.2,1.92405582922824,10.3309097658595,1.61520821643287
1,4,fxyd1^{+/+},2.5,181.5,2.5,58,58,1,2.94694835680751,15.7555481893356,1.79265553567879
1,4,fxyd1^{+/+},17,91,8.5,51.5,51.5,1.97857142857143,1.76773226773227,13.7970911513593,1.54257088667615
1,4,fxyd1^{+/+},5.5,61.5,2.5,45.5,45.5,2.2,1.3218137254902,17.9848214285714,1.45811200054734
1,4,fxyd1^{+/+},52,367.5,20,119.5,119.5,1.86486486486486,3.0947323704333,12.0363178111925,0.911512632367703
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,fxyd1^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,fxyd1^{+/-},4.5,101.5,2,57.5,57.5,3.5,1.79047474132684,11.2661645862308,1.79221770804147
2,5,fxyd1^{+/-},152,59,26,32,32,5.70288248337029,2.00909090909091,15.6075931152803,2.22938869839989
2,5,fxyd1^{+/-},19.5,55.5,8,26.5,26.5,2.70833333333333,1.94582043343653,13.3112581986526,2.36559955153639
2,5,fxyd1^{+/-},94,72.5,25.5,36,36,3.15261627906977,1.9492525570417,8.13799965206686,1.69418633360728
2,5,fxyd1^{+/-},31,119,11,49.5,49.5,3.36190476190476,2.38293650793651,10.8222185381668,1.72367419447398
2,5,fxyd1^{+/-},2.5,170.5,1.5,88,88,1.66666666666667,1.91754385964912,12.6280243221691,1.62875589861849
2,5,fxyd1^{+/-},0.5,145,0.5,49.5,49.5,1,3.00227272727273,17.4074334525229,1.71436960113288
2,5,fxyd1^{+/-},86,112.5,33,53,53,2.69444444444444,2.28715170278638,7.75212463774004,1.77856737197378
2,5,fxyd1^{+/-},12,105.5,8,67.5,67.5,1.53968253968254,1.54455888938648,10.4873456629028,1.4021482786663
2,5,fxyd1^{+/-},14.5,153.5,9,55.5,55.5,1.76666666666667,2.70573770491803,8.33938296367072,1.34570279866333
2,5,fxyd1^{+/-},2,98,1.5,57.5,57.5,1.33333333333333,1.59464285714286,13.6495866007501,1.6209333012037
2,5,fxyd1^{+/-},60,294.5,23,68,68,2.4,4.33560458576682,12.0993302588997,1.51858922829582
2,5,fxyd1^{+/-},237,157,43,88,88,4.86287878787879,1.76431924882629,7.81038715419417,1.25257000474608
2,5,fxyd1^{+/-},7.5,139,1.5,49,49,5.75,2.96617647058823,13.4985011990408,1.73779976989178
2,5,fxyd1^{+/-},32,218,20.5,72,72,2.2625,3.02393822393822,9.91377815113501,1.55340126255668
2,5,fxyd1^{+/-},34.5,63.5,10,32,32,3.46428571428571,1.76041666666667,11.8278691108086,2.01522839847791
2,5,fxyd1^{+/-},16.5,156.5,6,87,87,2.40909090909091,1.78862703561499,10.3690408711217,1.4568172145973
2,5,fxyd1^{+/-},9.5,309.5,3,82.5,82.5,3.16666666666667,3.67532757593806,16.4963212039064,1.5520172382175
2,5,fxyd1^{+/-},235,74,124,39.5,39.5,1.89164227642276,1.80102040816327,4.24234085414987,3.72326111214432
2,5,fxyd1^{+/-},9,267,3.5,92,92,2.57142857142857,2.89941418422037,12.6928519855595,1.47119581898169
2,5,fxyd1^{+/-},10.5,93,7,38.5,38.5,1.65,2.23469387755102,11.1013188081668,1.76388176415389
2,5,fxyd1^{+/-},26,123.5,18,65.5,65.5,1.55357142857143,1.87446657183499,7.82091427133597,1.44770486345282
2,5,fxyd1^{+/-},207.5,138,28.5,48.5,48.5,4.91454081632653,2.72302631578947,7.28559281373281,1.64582072829132
2,5,fxyd1^{+/-},3.5,194.5,1,94,94,3.5,2.0934595524957,13.1499349092155,1.1925163581551
2,5,fxyd1^{+/-},11.5,116,5.5,69,69,2.09090909090909,1.68336314847943,19.683315173527,1.61306678827169
2,5,fxyd1^{+/-},2.5,224,1,95.5,95.5,2.5,2.35139437856829,12.5190339661593,1.12693928317596
2,5,fxyd1^{+/-},100,251,33.5,98.5,98.5,2.84807692307692,2.5391448047924,8.40006915837771,1.32720973085292
2,5,fxyd1^{+/-},12.5,383.5,7,106,106,1.89583333333333,3.65496521189121,11.3829373153922,0.946973782213616
2,5,fxyd1^{+/-},24,291.5,9,99.5,99.5,2.66666666666667,2.9658002038736,11.6654916225749,1.04850231420837
2,5,fxyd1^{+/-},3,155.5,1.5,97.5,97.5,2,1.57760989010989,13.3898338472079,1.17861240846451
2,5,fxyd1^{+/-},13.5,197,4.5,90.5,90.5,2.975,2.17631257631258,12.9460398114196,1.25604217356042
2,5,fxyd1^{+/-},5,204.5,2,85,85,3.33333333333333,2.42249103942652,12.0236526946108,1.40711897988776
2,5,fxyd1^{+/-},29,98,7.5,61,61,3.92857142857143,1.63631205673759,11.2459342355532,1.82172941680795
2,5,fxyd1^{+/-},4.5,79.5,2,54,54,2.83333333333333,1.47137931034483,12.8547000137195,1.29269554883319
2,5,fxyd1^{+/-},10.5,88.5,5,61.5,61.5,2.0625,1.42361111111111,12.8899808313156,1.59463079824466
2,5,fxyd1^{+/-},4,150,2,75,75,2,1.92672413793103,14.1032793117247,1.30148034914115
2,5,fxyd1^{+/-},13.5,107,5,54,54,2.38888888888889,1.98529411764706,16.5983643847802,1.72017888185939
2,5,fxyd1^{+/-},24.5,61,7,41,41,3.38888888888889,1.49166666666667,17.0141363113042,1.95288728910992
2,5,fxyd1^{+/-},61.5,210.5,15.5,81.5,81.5,3.95416666666667,2.51472832722833,16.3041851373081,2.0458625993335
2,5,fxyd1^{+/-},1,177,1,61.5,61.5,1,2.98389694041868,11.3815946414365,1.75106391488681
2,5,fxyd1^{+/-},17.5,34,10,27.5,27.5,1.6875,1.22857142857143,15.2272799321518,1.76516889758417
2,5,fxyd1^{+/-},4.5,172.5,2.5,68.5,68.5,1.75,2.53831335616438,8.16284320282623,1.53321508664628
2,5,fxyd1^{+/-},8.5,134,3.5,56.5,56.5,2.75,2.34268214055448,16.5646463645699,1.6794898069016
2,5,fxyd1^{+/-},1.5,299,1.5,86.5,86.5,1,3.51125703564728,9.72534080577339,1.28475810458328
2,5,fxyd1^{+/-},4.5,230,2.5,90.5,90.5,1.75,2.4969362745098,13.2612903479362,1.25651966273631
2,5,fxyd1^{+/-},3,129,3,66.5,66.5,1,1.89781609195402,7.65333588060519,1.22484985872922
2,5,fxyd1^{+/-},25,167,5.5,83,83,4.10714285714286,1.995337995338,15.0262902794491,1.53170333719339
1,4,fxyd1^{-/-},2.5,128.5,1.5,58.5,58.5,2,2.02922077922078,9.28383054892601,1.32526758409786
1,4,fxyd1^{-/-},40,249,20.5,94.5,94.5,1.96875,2.6820987654321,8.06045454545455,1.40889816694575
1,4,fxyd1^{-/-},26.5,132,16.5,66.5,66.5,1.5195652173913,1.87959183673469,10.3087438009144,1.56161609033169
1,4,fxyd1^{-/-},1,46.5,0.5,38.5,38.5,2,1.20034722222222,16.8870454028867,1.48887024679724
1,4,fxyd1^{-/-},6,144,1,85.5,85.5,6,1.67401215805471,12.9046012621916,1.48263033926711
1,4,fxyd1^{-/-},0,121.5,0,60,60,NaN,2.02631578947368,18.4427976190476,1.49408221729976
1,4,fxyd1^{-/-},60,149.5,15.5,63.5,63.5,3.89583333333333,2.34442724458204,9.91790706517729,1.51971227835396
1,4,fxyd1^{-/-},9.5,145.5,3.5,57,57,3.55,2.5228125,11.8409960262263,1.32689580424719
1,4,fxyd1^{-/-},21,151.5,7,70.5,70.5,3.14583333333333,2.16801948051948,14.0914489087654,1.49200050496549
1,4,fxyd1^{-/-},12,122.5,2.5,65,65,3.75,1.86901340996169,8.37600853222478,1.71952181958302
1,4,fxyd1^{-/-},55,89.5,18,50,50,2.36129032258065,1.79971062422489,12.6099244588602,1.84248365402578
1,4,fxyd1^{-/-},5.5,107,4,66,66,1.375,1.58833570412518,11.869318612096,1.51451413463494
1,4,fxyd1^{-/-},14,244,5,91,91,2.8,2.63614210593818,19.0871708599816,2.1003852739726
1,4,fxyd1^{-/-},10.5,59,5.5,41.5,41.5,1.90909090909091,1.44090909090909,7.82321753246753,1.65125021095622
