exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
4,4,dmist^{+/+},27,274.5,21.5,55,55,1.25581395348837,5.34722222222222,6.24145520239536,0.951627533053121
4,4,dmist^{+/+},145.5,396.5,50,80.5,80.5,2.97892412685668,4.9710518102372,2.9297425370199,0.811907178706366
4,4,dmist^{+/+},131,325,42,83.5,83.5,3.18894830659537,3.93179830953075,4.8699011842941,0.901522289766971
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/+},99.5,352.5,45.5,72,72,2.12142857142857,4.89452214452214,4.16508069522036,0.956714547382628
4,4,dmist^{i8/+},1,251,1,75,75,1,3.33944138053727,8.53041666666666,1.16877734285057
4,4,dmist^{i8/+},32.5,384,20.5,90.5,90.5,1.51149425287356,4.24114774114774,6.1482582380232,0.884073386270491
4,4,dmist^{i8/+},47,355,13,73.5,73.5,3.51127819548872,4.99478178368121,4.97667877909253,0.945669475655431
4,4,dmist^{i8/+},19.5,364.5,3.5,61,61,3.66666666666667,6.27713338856669,6.82176107350671,1.08485518169977
4,4,dmist^{i8/+},304,395,56,63.5,63.5,6.70253427503116,6.42354124748491,4.90842738666833,1.00632387810661
4,4,dmist^{i8/+},45.5,371,9.5,49.5,49.5,4.95,7.45649509803922,5.09681435903778,0.999274472417025
4,4,dmist^{i8/+},13,202,6.5,96,96,1.8125,2.10329097425872,5.86540598923401,0.760379054496702
4,4,dmist^{i8/+},5,278,3.5,94.5,94.5,1.25,2.95761381475667,5.93018228144427,0.802276465812419
4,4,dmist^{i8/+},8.5,261,2.5,91,91,3,2.88782051282051,6.12829524367474,0.808317585407369
4,4,dmist^{i8/+},84.5,211.5,50.5,69,69,1.71004842615012,2.99904761904762,2.76345906428081,0.956807551905088
4,4,dmist^{i8/+},46,366.5,18,76.5,76.5,2.94088669950739,4.90916149068323,5.21030342851226,0.939957519116397
4,4,dmist^{i8/+},85,281.5,24,94,94,5.87469287469287,2.97902494331066,4.12186745785624,0.810802338388545
4,4,dmist^{i8/+},19.5,225.5,4.5,94,94,3.32142857142857,2.36666666666667,6.36164970922756,0.748736052998606
4,4,dmist^{i8/+},101.5,250.5,25,72.5,72.5,3.7,3.4597602739726,3.6325377001038,1.01981745555677
4,4,dmist^{i8/+},1.5,315,0.5,59.5,59.5,3,5.47794117647059,6.02701089732675,1.11478797807322
4,4,dmist^{i8/+},119.5,479,26,56,56,5.90540540540541,8.58586504637032,6.66809625734076,0.758186601902447
4,4,dmist^{i8/+},7.5,177,4,85,85,2.41666666666667,2.08489128929511,6.03126696247792,0.930880657953858
4,4,dmist^{i8/+},45.5,344,12,70.5,70.5,3.82867132867133,4.93313836224284,7.98416396897118,1.15836997830006
4,4,dmist^{i8/+},49,257.5,18,58.5,58.5,4.00769230769231,4.49528301886792,4.19744249394673,1.22072180451128
4,4,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{vir/+},34.5,327,22,83,83,1.65,3.99635780885781,5.72230043822483,0.710387348897482
4,4,dmist^{vir/+},110.5,250,33,84.5,84.5,3.47608695652174,2.96518632670216,7.35212228946487,0.922080511979364
4,4,dmist^{vir/+},37.5,332.5,19.5,68.5,68.5,2.41558441558442,4.91645299145299,4.5684988388549,1.04263999541468
4,4,dmist^{vir/+},48,295,23.5,79.5,79.5,2.17467948717949,3.78164251207729,3.44177299827269,0.871506465499636
4,4,dmist^{vir/+},115.5,305,18,87,87,6.08333333333333,3.5218253968254,6.04445105243773,0.825283821291074
4,4,dmist^{vir/+},64.5,349,17,75,75,3.54912280701754,4.6505959793631,3.11347762959338,0.80616134751773
4,4,dmist^{vir/+},7,283.5,2,83,83,3.33333333333333,3.51167257683215,7.4413523305633,0.960070297570298
4,4,dmist^{vir/+},21,286.5,6,73,73,2.36363636363636,4.21648351648352,7.82686060713077,1.19426677801521
4,4,dmist^{vir/+},5.5,301,4,112,112,1.21428571428571,2.70424242424242,6.01622963845848,0.58743697569139
4,4,dmist^{vir/+},64,418,21,67,67,2.71428571428571,6.32697058163036,5.50978310991609,1.26163527348832
4,4,dmist^{vir/+},36.5,374.5,9.5,95,95,3.25,3.97463647463647,4.00588901084868,0.745443492431282
4,4,dmist^{vir/+},63.5,262.5,17,88,88,4.02280701754386,2.98007246376812,6.25169981054546,0.859526198119698
4,4,dmist^{vir/+},48,172,9,86.5,86.5,3.875,1.996723996724,6.71999546549083,0.892372594198971
4,4,dmist^{vir/+},18.5,277,10.5,103,103,1.64473684210526,2.65067049808429,5.53520238204386,0.730402116884201
4,4,dmist^{vir/+},48,281,22,84,84,3.06153846153846,3.25740740740741,6.99530928960741,1.05945701357466
4,4,dmist^{vir/+},20,380,8.5,86.5,86.5,2.53571428571429,4.41403109086036,4.0271104411298,0.788728534892217
4,4,dmist^{vir/+},25,273.5,7,102.5,102.5,3.85416666666667,2.7385051943055,5.52562994649862,0.814783653846154
4,4,dmist^{vir/+},140,332,38.5,70.5,70.5,3.32890499194847,4.71247484909457,4.41003234093263,0.972828751708062
4,4,dmist^{vir/+},180,469,67.5,62.5,62.5,2.62222222222222,7.50883256528418,3.26833075155686,0.867670940170939
4,4,dmist^{vir/+},40,186,9,82,82,2.82352941176471,2.23769381303628,5.176641993585,0.917602336090485
4,4,dmist^{vir/+},142.5,389.5,30.5,55,55,3.52964743589744,7.31458966565349,4.41285066354787,0.90831554682831
4,4,dmist^{vir/+},81,177,24,73.5,73.5,2.74945054945055,2.40774253731343,4.13540577696479,0.925290023201857
4,4,dmist^{vir/+},72,300.5,34,83.5,83.5,2.15162790697674,3.62847826086957,5.83203096959443,0.943752864397149
4,4,dmist^{vir/+},49,378.5,20.5,59,59,2.46218487394958,7.44078947368421,6.20576714513557,0.927518845066631
4,4,dmist^{vir/+},26,133,14.5,60,60,1.96103896103896,2.21142369991475,6.61001868479171,0.904474560872199
4,4,dmist^{i8/vir},83,311,27.5,93,93,3.14393939393939,3.3497975708502,5.53101504202672,0.851522556390978
4,4,dmist^{i8/vir},71.5,203,34,69,69,2.09300699300699,2.96389358108108,4.94806815203146,0.786115276014534
4,4,dmist^{i8/vir},17.5,188,5,67,67,5.75,2.82504480286738,7.23099781873546,1.02299647473561
4,4,dmist^{i8/vir},76.5,381,32.5,87,87,2.66823899371069,4.38134920634921,5.56267925620433,0.923891012404258
4,4,dmist^{i8/vir},16.5,346.5,10,91.5,91.5,1.59375,3.7979525862069,5.34209309986384,1.14705955028416
4,4,dmist^{i8/vir},6.5,232.5,1.5,67,67,4.33333333333333,3.51043557168784,8.13405795852721,0.93631827176781
4,4,dmist^{i8/vir},88,235.5,15,65.5,65.5,3.85185185185185,3.62494156147733,6.47412313627449,0.900008591292395
4,4,dmist^{i8/vir},62,332.5,25,83.5,83.5,2.52597402597403,3.97538041917887,3.72833250889219,0.745275972397186
4,4,dmist^{i8/vir},28,280.5,12,86,86,1.69565217391304,3.25456389452333,4.2660420027484,0.693763165759186
4,4,dmist^{i8/vir},136.5,280,44.5,80.5,80.5,2.8277027027027,3.46272134203169,3.90676242308774,1.16526069675006
4,4,dmist^{i8/vir},200,400.5,75.5,68.5,68.5,2.68459507042254,5.88505993150685,3.52525927857956,0.774552918494881
4,4,dmist^{i8/vir},11.5,306,4.5,86.5,86.5,2.65,3.58125,4.33679218064037,0.896723937775715
4,4,dmist^{i8/vir},20,301.5,9,75.5,75.5,2.05194805194805,4.15196779964222,5.37079019874362,0.993663930084747
4,4,dmist^{i8/vir},12,270,5.5,85.5,85.5,2.54166666666667,3.25992555831266,5.43192604570191,0.76697193478635
4,4,dmist^{i8/vir},53.5,311.5,19,94,94,4.19285714285714,3.41185897435897,4.01741116751269,0.864517920457944
4,4,dmist^{i8/vir},117.5,330.5,45,79.5,79.5,2.38194444444444,4.23275039745628,3.65402435004016,0.814756537914433
4,4,dmist^{i8/vir},19.5,228.5,4.5,85.5,85.5,3.14285714285714,2.60399832822513,5.97612985675376,1.08706387164615
4,4,dmist^{i8/vir},12,221.5,4.5,81.5,81.5,2.55,2.7624584717608,7.04751144670722,0.772860312339705
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,4,dmist^{i8/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
