exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,6,dmist^{vir/+},384.5,436.5,54,41.5,41.5,7.73484848484848,34.6899399399399,2.31043566247527,0.462399164505906
1,6,dmist^{vir/+},778.5,549,29,36,36,29.0405405405405,16.1006493506493,3.8510086793338,0.645836331859772
1,6,dmist^{vir/+},243.5,321.5,37.5,77.5,77.5,6.92466266866567,4.3329107505071,5.41521682340648,1.1257032991122
1,6,dmist^{vir/+},115.5,201,25,48,48,4.63786764705882,5.03653395784543,4.10560856864654,1.1509719144364
1,6,dmist^{vir/+},212.5,345.5,53.5,74,74,3.93995098039216,4.92590539541759,3.787790441267,0.699150164857411
1,6,dmist^{vir/+},68,254,17.5,47.5,47.5,3.59420289855072,11.0197368421053,3.36286058628749,1.43526544055306
1,6,dmist^{vir/+},622,407,43,52,52,14.7877795962902,30.6468085106383,1.44360197368421,0.357271604938271
1,6,dmist^{vir/+},59,333.5,15.5,29.5,29.5,4.2719298245614,29.9275510204082,2.58931023301579,0.50449628127113
1,6,dmist^{vir/+},233.5,244,81.5,101.5,101.5,2.69717957276368,2.52729885057471,2.1935042373682,0.685008027601284
1,6,dmist^{vir/+},615.5,576,32.5,11.5,11.5,19.3132183908046,113.375,1.75196571243256,0.636087570621469
1,6,dmist^{vir/+},747,574,33,14.5,14.5,22.9403541472507,44.1368421052632,1.32962147887324,0.431417018284107
1,6,dmist^{vir/+},117,272.5,14,54,54,7.92708333333333,4.89130434782609,2.47547808670394,0.792468075808827
1,6,dmist^{vir/+},312.5,241.5,41,62,62,10.5659983291562,4.34467225846536,4.23170229431979,1.1453845710996
1,6,dmist^{vir/+},38,301,7.5,50,50,8.30681818181818,18.999115826702,3.99098941938816,0.916793984244449
1,6,dmist^{vir/vir},332.5,298,39.5,56.5,56.5,8.52663671373556,6.18108651911469,3.2314402587519,0.919742302351
1,6,dmist^{vir/vir},71.5,317.5,11,33.5,33.5,6.17619047619048,20.6024258760108,3.6168939770782,1.02962748643761
1,6,dmist^{vir/vir},632.5,453,31,36.5,36.5,20.9401709401709,16.0935828877005,2.70544570799707,0.67787049257099
1,6,dmist^{vir/vir},93,149,33.5,80.5,80.5,2.77232142857143,1.78219484882419,3.78629559350622,0.919208717375789
1,6,dmist^{vir/vir},41,333.5,11.5,71,71,3.88839285714286,6.21451762523191,7.59318348651683,1.38667894215446
1,6,dmist^{vir/vir},255,390.5,46,50.5,50.5,5.55576923076923,8.14846980976013,2.87959501557632,0.940862535388487
1,6,dmist^{vir/vir},110.5,196,35,77,77,3.24095394736842,2.27878787878788,2.36648613140762,0.951541435207745
1,6,dmist^{vir/vir},75.5,338.5,46,76.5,76.5,1.49044776119403,4.55102040816327,3.39824611873927,1.00704419889503
1,6,dmist^{vir/vir},108,89,28,54.5,54.5,4.13333333333333,1.67682926829268,3.25067311756082,1.08218547886506
1,6,dmist^{vir/vir},165.5,364,29.5,66.5,66.5,6.08575581395349,5.4435009057971,6.85782302777157,0.894538963126233
1,6,dmist^{vir/vir},9.5,233,4.5,92,92,2.125,2.53621647170034,7.19472994111152,0.962308605562419
1,6,dmist^{vir/vir},644.5,568,43.5,24.5,24.5,15.8129120879121,26.6136363636364,1.91686700570196,0.282745098039216
1,6,dmist^{vir/vir},147,209,30,50.5,50.5,4.39671682626539,3.95862884160757,3.56962050436588,1.36479264715913
1,6,dmist^{vir/vir},97,205,23.5,83,83,4.90714285714286,2.75535168195719,4.21646383700481,0.896821541604904
1,6,dmist^{vir/vir},74.5,217,26.5,77.5,77.5,3.73913043478261,2.51093138997512,3.4355806618681,0.949778217484455
1,6,dmist^{vir/vir},91,247.5,26,47.5,47.5,3.18181818181818,5.3512969588551,2.00635677170947,0.919070538318749
1,6,dmist^{vir/vir},136.5,309,17,48,48,7.14426877470356,8.35353535353535,6.31853121567899,1.59045546558705
