exp,box,geno,sleepD,sleepN,sleepBoutD,sleepBoutN,sleepBoutN_1,sleepLengthD,sleepLengthN,wactivityD,wactivityN
1,5,dmist^{vir/vir},428.5,333.5,124.5,72,72,3.4407573558517,4.63194444444444,0.93807290282576,0.683462182101021
1,5,dmist^{vir/vir},234,476,94,53,53,2.25027753793018,11.690350877193,1.20272393423476,0.431532934501048
1,5,dmist^{vir/vir},15.5,174.5,10.5,72.5,72.5,1.38333333333333,2.41076864535769,2.11953232221688,0.885315305000917
1,5,dmist^{vir/vir},643.5,476,119.5,80,80,5.45024116896014,5.96428571428571,0.844779664054897,0.44301831927886
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,dmist^{vir/vir},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},144,34.5,67,26.5,26.5,1.65811965811966,1.17777777777778,11.2234149106887,6.59206164206165
2,5,dmist^{+/+},42,97.5,26.5,59,59,1.43112244897959,1.67242380261248,2.16672791722255,1.32627571262894
2,5,dmist^{+/+},96,318,59.5,103.5,103.5,1.62260869565217,3.1125,2.63496723055279,0.829684171529129
2,5,dmist^{+/+},90,108,58,63.5,63.5,1.58473557692308,1.67791104447776,2.02045153572318,1.33730211185598
2,5,dmist^{+/+},214,266,105,91.5,91.5,2.04166666666667,2.9039039039039,1.48608853594661,1.16859423379524
2,5,dmist^{+/+},70,159,39,75,75,1.79684282772821,2.09321266968326,1.60471355005886,1.28511485042735
2,5,dmist^{+/+},371.5,347,189,145,145,1.93704751131222,2.41170861937452,0.534208754208755,0.452609924322252
2,5,dmist^{+/+},69,147.5,45.5,76.5,76.5,1.44623655913978,1.92805878332194,1.83348153430963,1.19665509999087
2,5,dmist^{+/+},25,71,15,35,35,1.7177033492823,2.02439024390244,5.36794194659159,1.83080888017368
2,5,dmist^{+/+},73,157.5,28,52,52,1.83333333333333,2.52724458204334,3.65084928795551,1.77828954369387
2,5,dmist^{+/+},63.5,198,39.5,73.5,73.5,1.528125,2.87019954819277,2.38345024115768,1.18006783391367
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{+/+},NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,dmist^{vir/+},55,105,33.5,58.5,58.5,1.52664399092971,1.69103930712858,2.54248980393698,1.56593128224023
2,5,dmist^{vir/+},58.5,175.5,38,80,80,1.29710144927536,2.16052590143285,7.13647486629302,1.41463015969441
2,5,dmist^{vir/+},84,135,64.5,83,83,1.3077950461389,1.62354819976771,1.61578012270611,1.21602960514625
2,5,dmist^{vir/+},183.5,197.5,111,100,100,1.67591533180778,1.88542280929355,1.60738177062451,0.938427056127072
2,5,dmist^{vir/+},121.5,205.5,70.5,95,95,1.62793103448276,2.11959957850369,3.06233828402861,1.40097485557695
2,5,dmist^{vir/+},54.5,130,30,74.5,74.5,1.61,1.74513513513513,2.21813911432604,1.16687520910003
2,5,dmist^{vir/+},153.5,279.5,62.5,89,89,2.54,3.14402277039848,3.22915059739867,1.67658539888934
2,5,dmist^{vir/+},42.5,167.5,29.5,80.5,80.5,1.47235294117647,2.02655485674354,2.49143920595533,0.919546448325844
2,5,dmist^{vir/+},50.5,229,29.5,101,101,1.46666666666667,2.27286106750392,3.3770838294454,1.23618345760361
2,5,dmist^{vir/+},42,158,21,54,54,1.91111111111111,2.93650793650794,4.89673347087141,2.31122058816385
2,5,dmist^{vir/+},181.5,253.5,83,94,94,2.1152380952381,2.61814930194993,1.46627910702841,0.880239062592004
2,5,dmist^{vir/+},73,155.5,50,99.5,99.5,1.47399366802352,1.58039156015419,2.26187888731644,1.06404463156725
2,5,dmist^{vir/+},39,62,21.5,39.5,39.5,1.47297297297297,1.56396103896104,4.27604078664377,2.41049503338219
2,5,dmist^{vir/+},99.5,154.5,51,67,67,1.78235294117647,2.1862635831708,3.12777435459917,1.42109714047916
2,5,dmist^{vir/+},222,329,135,128.5,128.5,1.66431075741555,2.59532687049466,1.55294684492097,0.91680332798717
2,5,dmist^{vir/+},62.5,164,41.5,74.5,74.5,1.38138138138138,2.24827898550725,3.47023770861226,1.44247231224319
2,5,dmist^{vir/+},62.5,26.5,27,23,23,1.95714285714286,1.15151515151515,2.95940432836539,1.75964886774165
2,5,dmist^{vir/vir},124.5,247.5,79,96.5,96.5,1.5568311349943,2.52629733520337,3.03754717439619,1.9180155210643
2,5,dmist^{vir/vir},105.5,194,66,77.5,77.5,1.40045248868778,2.31535087719298,2.41896781497191,1.02766596732668
